src_file_event_id,employee_src_id,src_account_id,system_code,operation_type_code,operation_type_name,file_classification,operation_dttm,object_path,download_flag,upload_flag,external_transfer_flag,source_system,load_dttm,batch_id
FILE-0000001,E00001,ACC-0000004,DWH,READ,Чтение файла,INTERNAL,2024-09-28 01:50:10,/data/dwh/folder_18/file_3096.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000002,E00001,ACC-0000004,DWH,UPLOAD,Загрузка файла,INTERNAL,2024-02-27 21:08:06,/data/dwh/folder_20/file_2158.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000003,E00001,ACC-0000004,DWH,DELETE,Удаление файла,INTERNAL,2024-03-07 19:01:40,/data/dwh/folder_31/file_1465.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000004,E00001,ACC-0000004,DWH,UPLOAD,Загрузка файла,STRICTLY_CONFIDENTIAL,2024-07-08 08:21:18,/data/dwh/folder_31/file_2318.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000005,E00002,ACC-0000007,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-04-26 19:58:50,/data/mail/folder_37/file_2660.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000006,E00002,ACC-0000007,MAIL,DOWNLOAD,Скачивание файла,STRICTLY_CONFIDENTIAL,2024-12-24 14:49:44,/data/mail/folder_36/file_3278.dat,Y,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000007,E00002,ACC-0000007,MAIL,UPLOAD,Загрузка файла,PUBLIC,2024-01-31 06:55:50,/data/mail/folder_3/file_693.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000008,E00002,ACC-0000007,MAIL,SHARE,Предоставление доступа,CONFIDENTIAL,2024-10-19 14:48:19,/data/mail/folder_26/file_4510.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000009,E00002,ACC-0000009,FILE,SHARE,Предоставление доступа,PUBLIC,2024-08-02 19:01:25,/data/file/folder_16/file_3527.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000010,E00002,ACC-0000009,FILE,READ,Чтение файла,PUBLIC,2024-06-25 22:33:52,/data/file/folder_24/file_3824.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000011,E00002,ACC-0000009,FILE,SHARE,Предоставление доступа,INTERNAL,2024-02-20 13:11:54,/data/file/folder_46/file_666.dat,N,N,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000012,E00002,ACC-0000009,FILE,DELETE,Удаление файла,PUBLIC,2024-04-03 11:09:25,/data/file/folder_18/file_3007.dat,N,N,Y,dlp_monitor,2024-12-31 11:00:00,access_batch_001
FILE-0000013,E00003,ACC-0000011,MAIL,UPLOAD,Загрузка файла,INTERNAL,2024-04-04 11:24:15,/data/mail/folder_3/file_4133.dat,N,Y,N,dlp_monitor,2024-12-31 11:00:00,access_batch_001
