src_network_event_id,employee_src_id,src_account_id,system_code,event_dttm,destination_type,destination_name,traffic_mb,connection_count,blocked_flag,vpn_used_flag,source_system,load_dttm,batch_id
NET-0000001,E00001,ACC-0000001,AD,2024-10-13 05:46:00,EXTERNAL,telegram.org,718.565,11,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000002,E00001,ACC-0000002,MAIL,2024-01-26 09:42:20,EXTERNAL,github.com,245.0971,10,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000003,E00001,ACC-0000002,MAIL,2024-06-23 16:17:12,EXTERNAL,dropbox.com,66.4934,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000004,E00001,ACC-0000002,MAIL,2024-09-12 06:30:16,INTERNAL,intranet.local,116.8878,15,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000005,E00001,ACC-0000003,VPN,2024-02-06 21:35:55,INTERNAL,corp.local,335.7129,17,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000006,E00002,ACC-0000006,AD,2024-11-25 10:08:56,EXTERNAL,drive.google.com,283.3954,2,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000007,E00002,ACC-0000006,AD,2024-07-27 18:13:23,EXTERNAL,drive.google.com,224.9764,12,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000008,E00002,ACC-0000006,AD,2024-07-06 08:36:20,INTERNAL,corp.local,649.3616,20,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000009,E00002,ACC-0000007,MAIL,2024-03-03 03:44:55,EXTERNAL,dropbox.com,14.8996,6,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
NET-0000010,E00002,ACC-0000007,MAIL,2024-06-11 04:11:18,EXTERNAL,telegram.org,34.1304,9,N,Y,network_monitor,2024-12-31 11:00:00,access_batch_001
