src_role_assignment_id,employee_src_id,src_account_id,system_code,role_code,role_name,role_group,assigned_at,revoked_at,assignment_status,source_system,load_dttm,batch_id
ROLE-0000001,E00001,ACC-0000001,AD,AD_USER,Пользователь домена,BASE,2024-08-17 12:29:34,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000002,E00001,ACC-0000001,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-09-25 11:28:21,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000003,E00001,ACC-0000002,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-06-25 22:14:36,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000004,E00001,ACC-0000003,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-08-11 18:07:25,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000005,E00001,ACC-0000003,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-04-18 04:41:26,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000006,E00001,ACC-0000004,DWH,DWH_ADMIN,Администратор DWH,PRIVILEGED,2024-09-20 15:29:34,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000007,E00001,ACC-0000005,CRM,CRM_USER,Пользователь CRM,BASE,2024-07-05 14:37:44,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000008,E00001,ACC-0000005,CRM,CRM_ADMIN,Администратор CRM,PRIVILEGED,2024-11-07 11:33:44,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000009,E00002,ACC-0000006,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-01-22 04:52:05,2024-05-09 04:52:05,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000010,E00002,ACC-0000006,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-10-03 20:48:24,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000011,E00002,ACC-0000007,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-10-11 05:11:53,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000012,E00002,ACC-0000007,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-08-08 08:35:41,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000013,E00002,ACC-0000008,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-11-12 23:17:16,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000014,E00002,ACC-0000008,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-06-17 00:44:39,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000015,E00002,ACC-0000009,FILE,FILE_USER,Пользователь файлового хранилища,BASE,2024-02-17 00:07:13,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000016,E00003,ACC-0000010,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-03-22 10:04:19,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000017,E00003,ACC-0000010,AD,AD_USER,Пользователь домена,BASE,2024-09-17 15:49:07,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000018,E00003,ACC-0000011,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-09-10 04:20:59,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000019,E00003,ACC-0000012,ERP,ERP_USER,Пользователь ERP,BASE,2024-10-20 11:58:42,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000020,E00003,ACC-0000012,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-01-01 12:51:13,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000021,E00004,ACC-0000013,AD,AD_USER,Пользователь домена,BASE,2024-08-21 17:13:57,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000022,E00004,ACC-0000014,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-07-07 09:16:31,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000023,E00004,ACC-0000015,VPN,VPN_USER,VPN пользователь,BASE,2024-10-18 19:01:11,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000024,E00004,ACC-0000016,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-05-03 07:01:40,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000025,E00005,ACC-0000017,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-05-16 01:27:51,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000026,E00005,ACC-0000018,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-02-13 11:29:19,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000027,E00005,ACC-0000018,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-11-28 04:18:40,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000028,E00005,ACC-0000019,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-08-12 22:48:53,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000029,E00005,ACC-0000019,VPN,VPN_ADMIN,Администратор VPN,PRIVILEGED,2024-11-06 23:59:20,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000030,E00005,ACC-0000020,CRM,CRM_USER,Пользователь CRM,BASE,2024-10-17 02:59:53,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000031,E00005,ACC-0000020,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-01-25 02:14:46,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000032,E00006,ACC-0000021,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-07-04 20:48:51,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000033,E00006,ACC-0000022,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-10-11 12:02:41,2024-12-05 12:02:41,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000034,E00006,ACC-0000022,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-02-17 19:25:31,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000035,E00006,ACC-0000023,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-01-23 03:33:26,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000036,E00006,ACC-0000023,ERP,ERP_ADMIN,Администратор ERP,PRIVILEGED,2024-05-07 23:45:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000037,E00007,ACC-0000024,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-02-11 17:47:44,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000038,E00007,ACC-0000025,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-04-22 07:01:03,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000039,E00007,ACC-0000026,CRM,CRM_USER,Пользователь CRM,BASE,2024-06-22 11:13:21,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000040,E00008,ACC-0000027,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-11-21 10:19:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000041,E00008,ACC-0000028,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-01-29 05:03:37,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000042,E00008,ACC-0000029,VPN,VPN_EXT,Расширенный VPN доступ,POWER,2024-06-10 20:50:16,2024-08-16 20:50:16,REVOKED,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000043,E00008,ACC-0000029,VPN,VPN_USER,VPN пользователь,BASE,2024-08-30 05:13:55,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000044,E00009,ACC-0000030,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-08-24 19:24:49,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000045,E00009,ACC-0000031,MAIL,MAIL_POWER,Расширенный почтовый доступ,POWER,2024-08-29 10:07:58,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000046,E00009,ACC-0000032,VPN,VPN_USER,VPN пользователь,BASE,2024-02-22 04:18:12,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000047,E00009,ACC-0000033,ERP,ERP_USER,Пользователь ERP,BASE,2024-04-28 11:08:49,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000048,E00009,ACC-0000033,ERP,ERP_APPROVER,Согласующий ERP,POWER,2024-01-07 12:34:42,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000049,E00009,ACC-0000034,CRM,CRM_ADMIN,Администратор CRM,PRIVILEGED,2024-02-21 06:39:57,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000050,E00009,ACC-0000034,CRM,CRM_MANAGER,Менеджер CRM,POWER,2024-02-03 05:03:09,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000051,E00010,ACC-0000035,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-07-06 21:45:00,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000052,E00011,ACC-0000036,AD,AD_USER,Пользователь домена,BASE,2024-10-31 05:00:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000053,E00011,ACC-0000037,MAIL,MAIL_ADMIN,Администратор почты,PRIVILEGED,2024-07-25 01:27:15,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000054,E00012,ACC-0000038,AD,AD_USER,Пользователь домена,BASE,2024-06-05 00:53:33,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000055,E00012,ACC-0000038,AD,AD_ADMIN,Администратор домена,PRIVILEGED,2024-09-10 09:27:24,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000056,E00012,ACC-0000038,AD,AD_SUPPORT,Поддержка домена,SUPPORT,2024-01-30 03:04:11,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000057,E00012,ACC-0000039,MAIL,MAIL_USER,Почтовый пользователь,BASE,2024-01-20 10:50:43,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
ROLE-0000058,E00013,ACC-0000040,AD,AD_USER,Пользователь домена,BASE,2024-11-24 13:52:23,,ACTIVE,iam_roles,2024-12-31 11:00:00,access_batch_001
