src_account_id,employee_src_id,system_code,system_name,account_login,account_type_code,account_type_name,privileged_flag,admin_flag,account_status,created_at,disabled_at,source_system,load_dttm,batch_id
ACC-0000001,E00001,AD,Active Directory,e00001_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2024-12-26 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000002,E00001,MAIL,Corporate Mail,e00001_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2025-02-10 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000003,E00001,VPN,VPN Gateway,e00001_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2025-01-31 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000004,E00001,DWH,Data Warehouse,e00001_dwh,ANALYTICS,Аналитическая учётная запись,N,N,ACTIVE,2024-12-18 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000005,E00001,CRM,CRM Platform,e00001_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2025-03-22 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000006,E00002,AD,Active Directory,e00002_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-02-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000007,E00002,MAIL,Corporate Mail,e00002_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-04-20 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000008,E00002,VPN,VPN Gateway,e00002_vpn,REMOTE,Удалённый доступ,N,N,DISABLED,2023-04-16 00:00:00,2023-08-02 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000009,E00002,FILE,File Storage,e00002_file,STORAGE,Файловая учётная запись,N,N,ACTIVE,2023-04-15 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000010,E00003,AD,Active Directory,e00003_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2020-01-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000011,E00003,MAIL,Corporate Mail,e00003_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2020-02-04 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000012,E00003,ERP,ERP Platform,e00003_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2019-11-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000013,E00004,AD,Active Directory,e00004_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2020-09-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000014,E00004,MAIL,Corporate Mail,e00004_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2020-06-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000015,E00004,VPN,VPN Gateway,e00004_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2020-06-18 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000016,E00004,ERP,ERP Platform,e00004_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2020-06-02 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000017,E00005,AD,Active Directory,e00005_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-12-09 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000018,E00005,MAIL,Corporate Mail,e00005_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-11-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000019,E00005,VPN,VPN Gateway,e00005_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2023-10-28 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000020,E00005,CRM,CRM Platform,e00005_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2024-01-10 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000021,E00006,AD,Active Directory,e00006_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2023-08-31 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000022,E00006,MAIL,Corporate Mail,e00006_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2023-07-31 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000023,E00006,ERP,ERP Platform,e00006_erp,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2023-07-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000024,E00007,AD,Active Directory,e00007_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2020-08-03 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000025,E00007,MAIL,Corporate Mail,e00007_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2020-07-21 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000026,E00007,CRM,CRM Platform,e00007_crm,BUSINESS,Бизнес-учётная запись,N,N,ACTIVE,2020-06-30 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000027,E00008,AD,Active Directory,e00008_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2021-08-24 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000028,E00008,MAIL,Corporate Mail,e00008_mail,MAILBOX,Почтовая учётная запись,N,N,ACTIVE,2021-09-06 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000029,E00008,VPN,VPN Gateway,e00008_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2021-11-17 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000030,E00009,AD,Active Directory,e00009_ad,DOMAIN,Доменная учётная запись,N,N,ACTIVE,2019-12-01 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000031,E00009,MAIL,Corporate Mail,e00009_mail,MAILBOX,Почтовая учётная запись,N,N,DISABLED,2019-11-26 00:00:00,2020-05-23 00:00:00,iam_core,2024-12-31 11:00:00,access_batch_001
ACC-0000032,E00009,VPN,VPN Gateway,e00009_vpn,REMOTE,Удалённый доступ,N,N,ACTIVE,2019-10-19 00:00:00,,iam_core,2024-12-31 11:00:00,access_batch_001
