src_advance_report_id,employee_src_id,report_period,total_amount_rub,approved_amount_rub,rejected_amount_rub,overdue_days,report_status,approver_employee_src_id,source_system,load_dttm,batch_id
ADV-0000001,E00001,2024-04-01,174761.19,174761.19,0.0,0,CLOSED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000002,E00001,2024-10-01,75384.36,75384.36,0.0,45,OVERDUE,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000003,E00002,2024-09-01,65832.3,65832.3,0.0,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000004,E00002,2024-07-01,17295.53,17295.53,0.0,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000005,E00003,2024-01-01,98517.32,98517.32,0.0,0,APPROVED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000006,E00003,2024-12-01,115973.49,115973.49,0.0,24,OVERDUE,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000007,E00004,2024-06-01,156620.25,156620.25,0.0,0,APPROVED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000008,E00006,2024-03-01,56357.26,56357.26,0.0,0,APPROVED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000009,E00008,2024-10-01,157125.81,157125.81,0.0,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000010,E00009,2024-02-01,42778.51,42778.51,0.0,0,CLOSED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000011,E00010,2024-10-01,92124.69,92124.69,0.0,0,APPROVED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000012,E00011,2024-10-01,18165.45,18165.45,0.0,0,CLOSED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000013,E00014,2024-02-01,120505.97,120505.97,0.0,0,CLOSED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000014,E00014,2024-01-01,11483.68,10264.65,1219.03,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000015,E00015,2024-01-01,80411.07,80411.07,0.0,0,CLOSED,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000016,E00015,2024-01-01,175079.08,138182.35,36896.73,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000017,E00016,2024-06-01,49319.81,49319.81,0.0,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000018,E00017,2024-02-01,92692.99,69440.48,23252.51,0,IN_REVIEW,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000019,E00017,2024-09-01,9784.31,9784.31,0.0,10,OVERDUE,,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000020,E00021,2024-03-01,16991.52,16991.52,0.0,0,CLOSED,E00017,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000021,E00023,2024-05-01,76432.83,76432.83,0.0,0,APPROVED,E00014,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000022,E00023,2024-10-01,53900.07,53900.07,0.0,0,APPROVED,E00014,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000023,E00024,2024-04-01,131247.27,131247.27,0.0,0,CLOSED,E00023,finance_advance,2024-12-31 12:00:00,finance_batch_001
ADV-0000024,E00025,2024-05-01,21063.46,21063.46,0.0,0,APPROVED,E00003,finance_advance,2024-12-31 12:00:00,finance_batch_001
