src_card_txn_id,employee_src_id,transaction_dttm,merchant_name,mcc_code,transaction_category,amount_rub,currency_code,country_name,city_name,card_present_flag,reversal_flag,suspicious_flag,source_system,load_dttm,batch_id
CARD-0000001,E00001,2024-11-03 04:36:54,Market24,5812,RESTAURANT,100253.78,RUB,UAE,Dubai,N,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000002,E00001,2024-07-14 16:04:19,AeroTickets,4511,TRAVEL,41309.84,RUB,Russia,Saint Petersburg,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000003,E00001,2024-02-04 18:38:42,SoftCloud,5812,RESTAURANT,58715.19,RUB,Turkey,Istanbul,N,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000004,E00001,2024-03-08 08:43:54,SoftCloud,7011,HOTEL,69879.86,RUB,UAE,Dubai,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000005,E00001,2024-10-23 12:44:43,TaxiGo,7011,HOTEL,73283.58,RUB,Kazakhstan,Almaty,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000006,E00001,2024-06-09 18:11:20,TechStore,5734,SOFTWARE,28006.86,RUB,Russia,Kazan,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000007,E00001,2024-01-22 14:31:46,Restaurant Hall,5734,SOFTWARE,29555.47,RUB,Turkey,Istanbul,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000008,E00001,2024-12-24 11:48:45,OfficeMarket,5732,ELECTRONICS,89279.6,RUB,Turkey,Istanbul,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000009,E00002,2024-04-09 18:30:18,Market24,5812,RESTAURANT,39245.83,RUB,Russia,Saint Petersburg,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000010,E00002,2024-10-01 21:43:45,Restaurant Hall,5812,RESTAURANT,59062.64,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000011,E00002,2024-09-21 11:09:01,Market24,5732,ELECTRONICS,87781.34,RUB,Turkey,Istanbul,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000012,E00003,2024-08-12 23:01:07,OfficeMarket,5812,RESTAURANT,40864.44,RUB,Turkey,Istanbul,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000013,E00003,2024-07-12 05:40:46,OfficeMarket,7011,HOTEL,62801.71,RUB,Turkey,Istanbul,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000014,E00004,2024-04-14 01:21:46,TechStore,5812,RESTAURANT,24889.38,RUB,UAE,Dubai,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000015,E00005,2024-03-10 16:43:42,Restaurant Hall,7011,HOTEL,79276.82,RUB,UAE,Dubai,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000016,E00006,2024-11-17 21:20:36,Hotel Plaza,5734,SOFTWARE,7953.79,RUB,Turkey,Istanbul,Y,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000017,E00006,2024-06-28 23:09:06,AeroTickets,4511,TRAVEL,112645.67,RUB,Russia,Saint Petersburg,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000018,E00007,2024-11-13 21:54:34,SoftCloud,5732,ELECTRONICS,104122.94,RUB,Russia,Saint Petersburg,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000019,E00008,2024-12-01 19:48:26,TechStore,5311,RETAIL,10483.78,RUB,Turkey,Istanbul,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000020,E00008,2024-03-11 17:14:09,SoftCloud,5311,RETAIL,36539.9,RUB,Russia,Moscow,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000021,E00008,2024-01-22 03:45:15,AeroTickets,7011,HOTEL,30760.81,RUB,Russia,Moscow,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000022,E00008,2024-01-06 09:41:30,TechStore,7011,HOTEL,113825.55,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000023,E00008,2024-12-03 16:05:04,OfficeMarket,7011,HOTEL,99200.29,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000024,E00009,2024-07-17 07:12:32,SoftCloud,5812,RESTAURANT,62949.06,RUB,Russia,Saint Petersburg,Y,Y,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000025,E00010,2024-06-28 15:34:10,SoftCloud,5734,SOFTWARE,107763.59,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000026,E00010,2024-10-02 08:39:48,SoftCloud,5734,SOFTWARE,64300.35,RUB,Russia,Moscow,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000027,E00010,2024-08-23 05:57:59,AeroTickets,5734,SOFTWARE,61133.79,RUB,Kazakhstan,Almaty,N,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000028,E00010,2024-01-22 01:11:50,SoftCloud,5734,SOFTWARE,22506.82,RUB,UAE,Dubai,Y,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000029,E00010,2024-03-27 09:55:38,Market24,4511,TRAVEL,116965.24,RUB,UAE,Dubai,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000030,E00011,2024-09-28 06:26:50,Market24,7011,HOTEL,42483.0,RUB,Russia,Moscow,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000031,E00012,2024-02-26 18:47:28,Market24,4511,TRAVEL,115714.88,RUB,Kazakhstan,Almaty,N,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000032,E00012,2024-01-04 06:06:53,TechStore,5734,SOFTWARE,4691.11,RUB,Turkey,Istanbul,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000033,E00013,2024-11-07 15:21:09,OfficeMarket,5732,ELECTRONICS,26970.48,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000034,E00013,2024-12-11 23:25:09,TaxiGo,5812,RESTAURANT,49816.31,RUB,Russia,Saint Petersburg,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000035,E00013,2024-10-14 12:54:45,Hotel Plaza,7011,HOTEL,102519.64,RUB,Russia,Moscow,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000036,E00013,2024-07-19 01:42:31,Hotel Plaza,5732,ELECTRONICS,44059.3,RUB,Russia,Moscow,Y,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000037,E00013,2024-11-11 21:53:32,Hotel Plaza,5732,ELECTRONICS,36942.12,RUB,UAE,Dubai,N,N,Y,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000038,E00014,2024-01-06 22:23:19,Market24,5311,RETAIL,115450.91,RUB,Russia,Kazan,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
CARD-0000039,E00014,2024-10-26 12:02:43,Restaurant Hall,5311,RETAIL,52832.65,RUB,Russia,Moscow,N,N,N,finance_card,2024-12-31 12:00:00,finance_batch_001
