src_payroll_adj_id,employee_src_id,payroll_month,adjustment_type_code,adjustment_type_name,adjustment_reason_group,amount_rub,manual_flag,approved_flag,source_system,load_dttm,batch_id
PAY-0000001,E00007,2024-09-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,6119.36,Y,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000002,E00008,2024-09-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,21216.55,N,N,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000003,E00009,2024-03-01,BONUS_CORR,Корректировка премии,BONUS,41707.5,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000004,E00011,2024-05-01,BONUS_CORR,Корректировка премии,BONUS,41551.67,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000005,E00011,2024-12-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,28658.51,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000006,E00012,2024-05-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,35464.83,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000007,E00015,2024-08-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-28689.26,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000008,E00018,2024-09-01,BONUS_CORR,Корректировка премии,BONUS,-9195.89,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000009,E00020,2024-05-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-44840.05,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000010,E00021,2024-02-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,56263.19,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000011,E00024,2024-11-01,REIMBURSEMENT_CORR,Корректировка возмещения,REIMBURSEMENT,45790.17,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000012,E00025,2024-01-01,COMP_CORR,Корректировка компенсации,COMPENSATION,-14404.49,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000013,E00026,2024-01-01,COMP_CORR,Корректировка компенсации,COMPENSATION,16268.76,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000014,E00026,2024-10-01,COMP_CORR,Корректировка компенсации,COMPENSATION,27911.65,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000015,E00028,2024-03-01,COMP_CORR,Корректировка компенсации,COMPENSATION,14523.8,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000016,E00028,2024-04-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-32363.2,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000017,E00030,2024-11-01,COMP_CORR,Корректировка компенсации,COMPENSATION,63222.55,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000018,E00032,2024-08-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,-15487.23,N,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000019,E00036,2024-06-01,BONUS_CORR,Корректировка премии,BONUS,-16643.83,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
PAY-0000020,E00036,2024-11-01,MANUAL_DEDUCT,Ручное удержание,DEDUCTION,25693.53,Y,Y,finance_payroll,2024-12-31 12:00:00,finance_batch_001
