src_absence_event_id,employee_src_id,absence_type_code,absence_type_name,absence_reason_group,start_date,end_date,duration_days,approved_flag,source_system,load_dttm,batch_id
ABS-0000001,E00001,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-10-06,2024-10-17,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000002,E00003,DAY_OFF,Отгул,WORKLOAD,2024-06-02,2024-06-12,11,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000003,E00005,UNPAID_LEAVE,Отпуск без содержания,PERSONAL,2024-07-24,2024-08-02,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000004,E00005,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-06-05,2024-06-14,10,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000005,E00006,VACATION,Ежегодный отпуск,PLANNED,2024-02-06,2024-02-18,13,N,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000006,E00006,DAY_OFF,Отгул,WORKLOAD,2024-02-12,2024-02-20,9,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000007,E00007,SICK_LEAVE,Больничный,HEALTH,2024-01-24,2024-01-30,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000008,E00007,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-05-09,2024-05-10,2,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000009,E00007,SICK_LEAVE,Больничный,HEALTH,2024-02-11,2024-02-17,7,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000010,E00007,TRAINING_LEAVE,Учебный отпуск,DEVELOPMENT,2024-08-23,2024-09-03,12,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
ABS-0000011,E00008,SICK_LEAVE,Больничный,HEALTH,2024-07-06,2024-07-11,6,Y,hr_absence,2024-12-31 10:00:00,hr_batch_001
