src_position_event_id,employee_src_id,position_code,position_name,department_src_id,department_name,event_type_code,event_type_name,grade_code,salary_change_flag,effective_from,effective_to,source_system,load_dttm,batch_id
POS-00001-01,E00001,ГЛАВНЫЙ_ЭКСПЕРТ_БЕЗОПАСНОСТЬ,Главный эксперт по безопасности,D0035,Безопасность 35,MOVE,Перемещение,G3,N,2024-12-12,2025-06-14,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00001-02,E00001,СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Специалист по безопасности,D0035,Безопасность 35,PROMOTION,Повышение,G3,Y,2025-06-15,2025-11-07,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00001-03,E00001,СТАРШИЙ_АНАЛИТИК_БЕЗОПАСНОСТЬ,Старший аналитик по безопасности,D0035,Безопасность 35,PROMOTION,Повышение,G3,Y,2025-11-08,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00002-01,E00002,ТЕХНИЧЕСКИЙ_ЛИДЕР_ИТ,Технический лидер ИТ,D0008,ИТ 8,PROMOTION,Повышение,G1,Y,2023-01-26,2024-01-03,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00002-02,E00002,ИНЖЕНЕР_ИТ,Инженер ИТ,D0008,ИТ 8,TRANSFER,Перевод,G1,Y,2024-01-04,2024-12-01,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00002-03,E00002,ИНЖЕНЕР_ИТ,Инженер ИТ,D0008,ИТ 8,PROMOTION,Повышение,G1,Y,2024-12-02,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00003-01,E00003,ИНЖЕНЕР_ИТ,Инженер ИТ,D0016,ИТ 16,TRANSFER,Перевод,G2,Y,2020-01-01,2020-12-12,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00003-02,E00003,ИНЖЕНЕР_ИТ,Инженер ИТ,D0016,ИТ 16,MOVE,Перемещение,G2,N,2020-12-13,2021-04-13,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00003-03,E00003,ИНЖЕНЕР_ИТ,Инженер ИТ,D0016,ИТ 16,HIRE,Приём,G2,N,2021-04-14,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00004-01,E00004,СТАРШИЙ_АНАЛИТИК_БЕЗОПАСНОСТЬ,Старший аналитик по безопасности,D0035,Безопасность 35,TRANSFER,Перевод,M1,Y,2020-05-30,2021-03-20,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00004-02,E00004,ГЛАВНЫЙ_ЭКСПЕРТ_БЕЗОПАСНОСТЬ,Главный эксперт по безопасности,D0035,Безопасность 35,HIRE,Приём,M1,N,2021-03-21,2021-08-05,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00004-03,E00004,СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Специалист по безопасности,D0035,Безопасность 35,MOVE,Перемещение,M1,N,2021-08-06,2022-06-29,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00004-04,E00004,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0035,Безопасность 35,TRANSFER,Перевод,M1,Y,2022-06-30,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00005-01,E00005,СТАРШИЙ_ИНЖЕНЕР_ИТ,Старший инженер ИТ,D0034,ИТ 34,MOVE,Перемещение,G3,N,2023-09-30,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00006-01,E00006,СТАРШИЙ_ЭКСПЕРТ_КОМПЛАЕНС,Старший эксперт по комплаенсу,D0020,Комплаенс 20,MOVE,Перемещение,G3,N,2023-06-23,2024-02-08,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00006-02,E00006,МЕНЕДЖЕР_КОМПЛАЕНС,Менеджер по комплаенсу,D0020,Комплаенс 20,TRANSFER,Перевод,G3,Y,2024-02-09,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00007-01,E00007,ИНЖЕНЕР_ИТ,Инженер ИТ,D0029,ИТ 29,HIRE,Приём,G1,N,2020-05-10,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00008-01,E00008,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0036,Безопасность 36,TRANSFER,Перевод,G3,Y,2021-07-31,2022-06-16,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00008-02,E00008,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0036,Безопасность 36,MOVE,Перемещение,G3,N,2022-06-17,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00009-01,E00009,СТАРШИЙ_ИНЖЕНЕР_ИТ,Старший инженер ИТ,D0015,ИТ 15,TRANSFER,Перевод,G1,Y,2020-01-01,2020-12-03,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00009-02,E00009,ИНЖЕНЕР_ИТ,Инженер ИТ,D0015,ИТ 15,HIRE,Приём,G1,N,2020-12-04,2021-07-07,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00009-03,E00009,ТЕХНИЧЕСКИЙ_ЛИДЕР_ИТ,Технический лидер ИТ,D0015,ИТ 15,HIRE,Приём,G1,N,2021-07-08,2022-04-22,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00009-04,E00009,СИСТЕМНЫЙ_АНАЛИТИК_ИТ,Системный аналитик ИТ,D0015,ИТ 15,PROMOTION,Повышение,G1,Y,2022-04-23,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00010-01,E00010,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0018,Безопасность 18,MOVE,Перемещение,G2,N,2024-06-11,2024-10-31,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00010-02,E00010,СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Специалист по безопасности,D0018,Безопасность 18,PROMOTION,Повышение,G2,Y,2024-11-01,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00011-01,E00011,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0031,Безопасность 31,PROMOTION,Повышение,G4,Y,2021-09-22,2022-05-14,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00011-02,E00011,СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Специалист по безопасности,D0031,Безопасность 31,MOVE,Перемещение,G4,N,2022-05-15,2023-05-13,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00011-03,E00011,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0031,Безопасность 31,PROMOTION,Повышение,G4,Y,2023-05-14,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00012-01,E00012,СТАРШИЙ_ЭКСПЕРТ_КОМПЛАЕНС,Старший эксперт по комплаенсу,D0007,Комплаенс 7,TRANSFER,Перевод,G4,Y,2023-11-01,2024-12-06,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00012-02,E00012,МЕНЕДЖЕР_КОМПЛАЕНС,Менеджер по комплаенсу,D0007,Комплаенс 7,TRANSFER,Перевод,G4,Y,2024-12-07,2025-12-27,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00012-03,E00012,СПЕЦИАЛИСТ_КОМПЛАЕНС,Специалист по комплаенсу,D0007,Комплаенс 7,MOVE,Перемещение,G4,N,2025-12-28,2026-07-14,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00012-04,E00012,СПЕЦИАЛИСТ_КОМПЛАЕНС,Специалист по комплаенсу,D0007,Комплаенс 7,HIRE,Приём,G4,N,2026-07-15,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00013-01,E00013,СТАРШИЙ_ЭКСПЕРТ_КОМПЛАЕНС,Старший эксперт по комплаенсу,D0007,Комплаенс 7,MOVE,Перемещение,G5,N,2020-01-01,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00014-01,E00014,ТЕХНИЧЕСКИЙ_ЛИДЕР_ИТ,Технический лидер ИТ,D0013,ИТ 13,TRANSFER,Перевод,G1,Y,2021-02-18,2021-11-01,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00014-02,E00014,ТЕХНИЧЕСКИЙ_ЛИДЕР_ИТ,Технический лидер ИТ,D0013,ИТ 13,MOVE,Перемещение,G1,N,2021-11-02,2022-04-29,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00014-03,E00014,СИСТЕМНЫЙ_АНАЛИТИК_ИТ,Системный аналитик ИТ,D0013,ИТ 13,PROMOTION,Повышение,G1,Y,2022-04-30,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00015-01,E00015,СТАРШИЙ_ЭКСПЕРТ_КОМПЛАЕНС,Старший эксперт по комплаенсу,D0030,Комплаенс 30,PROMOTION,Повышение,M1,Y,2021-10-20,2022-06-04,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00015-02,E00015,ЭКСПЕРТ_КОМПЛАЕНС,Эксперт по комплаенсу,D0030,Комплаенс 30,TRANSFER,Перевод,M1,Y,2022-06-05,2023-01-04,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00015-03,E00015,СТАРШИЙ_ЭКСПЕРТ_КОМПЛАЕНС,Старший эксперт по комплаенсу,D0030,Комплаенс 30,PROMOTION,Повышение,M1,Y,2023-01-05,2023-12-13,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00015-04,E00015,ЭКСПЕРТ_КОМПЛАЕНС,Эксперт по комплаенсу,D0030,Комплаенс 30,PROMOTION,Повышение,M1,Y,2023-12-14,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00016-01,E00016,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0004,Безопасность 4,MOVE,Перемещение,G2,N,2020-01-01,2020-07-30,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00016-02,E00016,ВЕДУЩИЙ_СПЕЦИАЛИСТ_БЕЗОПАСНОСТЬ,Ведущий специалист по безопасности,D0004,Безопасность 4,PROMOTION,Повышение,G2,Y,2020-07-31,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00017-01,E00017,ОПЕРАЦИОННЫЙ_МЕНЕДЖЕР_ОПЕРАЦИИ,Операционный менеджер операций,D0027,Операции 27,MOVE,Перемещение,G3,N,2024-06-12,,hr_position_history,2024-12-31 10:00:00,hr_batch_001
POS-00018-01,E00018,СПЕЦИАЛИСТ_ОПЕРАЦИИ,Специалист операций,D0025,Операции 25,MOVE,Перемещение,M2,N,2020-01-01,2021-02-16,hr_position_history,2024-12-31 10:00:00,hr_batch_001
