src_violation_id,employee_src_id,violation_code,violation_name,control_area,materiality_level,violation_status,detected_at,decision_at,decision_text,source_system,load_dttm,batch_id
CMP-0000001,E01733,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-12-11 21:15:07,2024-12-22 21:15:07,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000002,E01272,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-01-14 15:11:10,2024-01-27 15:11:10,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000003,E01698,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-03-10 18:07:41,2024-03-16 18:07:41,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000004,E00253,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-01-02 23:17:22,2024-01-17 23:17:22,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000005,E00040,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-01-17 16:28:21,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000006,E02903,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-07-23 03:16:23,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000007,E01790,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-10-25 07:44:35,2024-11-01 07:44:35,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000008,E01027,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-07-15 08:40:58,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000009,E00076,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-01-15 02:50:50,2024-01-23 02:50:50,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000010,E00192,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-07-24 19:06:40,2024-07-26 19:06:40,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000011,E01447,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-09-19 05:37:48,2024-10-01 05:37:48,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000012,E01928,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-04-15 12:08:40,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000013,E01163,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-08-04 10:11:44,2024-08-16 10:11:44,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000014,E02658,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-09-25 19:10:07,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000015,E00123,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-02-13 04:15:16,2024-02-27 04:15:16,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000016,E01392,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-11-18 11:07:43,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000017,E01613,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-05-24 03:57:49,2024-05-26 03:57:49,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000018,E00371,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-10-14 23:22:05,2024-10-20 23:22:05,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000019,E00334,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-01-04 14:04:49,2024-01-08 14:04:49,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000020,E00574,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-06-11 05:19:09,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000021,E01017,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-09-13 18:40:44,2024-09-21 18:40:44,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000022,E00407,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-10-27 16:58:28,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000023,E00130,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-03-02 22:12:40,2024-03-04 22:12:40,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000024,E00009,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-04-21 03:36:38,2024-04-25 03:36:38,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000025,E00019,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-04-24 15:02:04,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000026,E00088,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-07-09 02:50:17,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000027,E00287,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-12-02 07:33:27,2024-12-14 07:33:27,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000028,E00974,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-09-30 01:50:42,2024-10-02 01:50:42,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000029,E01353,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-01-31 16:03:02,2024-02-13 16:03:02,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000030,E01705,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-06-11 08:36:49,2024-06-25 08:36:49,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000031,E02061,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-10-27 22:17:20,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000032,E02913,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-06-13 11:49:46,2024-06-16 11:49:46,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000033,E01667,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-05-19 15:37:08,2024-05-22 15:37:08,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000034,E00070,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-07-05 04:34:02,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000035,E00087,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-06-09 10:17:02,2024-06-21 10:17:02,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000036,E00271,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-04-26 22:57:02,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000037,E00283,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-12-06 10:30:59,2024-12-20 10:30:59,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000038,E00164,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-04-26 14:04:37,2024-05-05 14:04:37,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000039,E00204,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-11-06 00:48:26,2024-11-10 00:48:26,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000040,E00882,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-03-09 16:42:38,2024-03-20 16:42:38,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000041,E00419,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-10-14 03:36:06,2024-10-25 03:36:06,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000042,E02469,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-06-25 09:19:13,2024-07-01 09:19:13,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000043,E02542,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-12-11 17:55:06,2024-12-13 17:55:06,Нарушение урегулировано,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000044,E00132,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-09-21 16:08:11,2024-09-26 16:08:11,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000045,E00292,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-10-08 15:38:13,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000046,E00242,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-08-08 11:38:00,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000047,E00795,COI,Конфликт интересов,ETHICS,HIGH,CLOSED,2024-07-06 11:36:01,2024-07-18 11:36:01,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000048,E02845,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-12-29 16:29:13,2025-01-05 16:29:13,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000049,E00124,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-08-21 08:38:18,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000050,E00292,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-07-21 01:58:39,2024-07-29 01:58:39,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000051,E00059,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-03-13 01:30:35,2024-03-15 01:30:35,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000052,E02078,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,OPEN,2024-10-27 15:57:03,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000053,E00295,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-08-20 09:15:24,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000054,E00252,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,CLOSED,2024-10-27 04:58:29,2024-11-10 04:58:29,Требуется повторная проверка,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000055,E01499,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-07-29 19:29:01,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000056,E02378,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,CLOSED,2024-06-25 04:31:52,2024-07-01 04:31:52,Требуется дополнительный контроль,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000057,E00064,DECLARATION_GAP,Неактуальные декларационные сведения,DISCLOSURE,MEDIUM,OPEN,2024-10-02 00:32:59,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000058,E00546,POLICY_BREAK,Нарушение внутренней политики,POLICY,MEDIUM,OPEN,2024-09-10 01:30:13,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000059,E02366,COI,Конфликт интересов,ETHICS,HIGH,OPEN,2024-12-09 07:06:22,,,compliance_cases,2024-12-31 09:00:00,risk_batch_001
CMP-0000060,E00031,GIFT_POLICY,Нарушение политики подарков,ANTI_FRAUD,LOW,CLOSED,2024-12-07 20:57:03,2024-12-19 20:57:03,Назначено служебное замечание,compliance_cases,2024-12-31 09:00:00,risk_batch_001
