src_incident_id,employee_src_id,incident_code,incident_name,severity_level,incident_status,detected_at,closed_at,channel_name,source_system,load_dttm,batch_id
IB-0000001,E00608,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-03-27 18:40:05,2024-03-27 21:40:05,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000002,E00059,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,CLOSED,2024-10-11 23:52:26,2024-10-17 06:52:26,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000003,E02437,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-03-14 21:51:37,2024-03-20 08:51:37,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000004,E02275,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,OPEN,2024-11-09 01:59:49,,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000005,E01070,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,CLOSED,2024-08-02 14:08:37,2024-08-07 02:08:37,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000006,E00907,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-01-29 03:33:11,2024-02-06 12:33:11,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000007,E00105,UNAUTH_UPLOAD,Попытка несанкционированной выгрузки,CRITICAL,OPEN,2024-12-11 17:43:13,,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000008,E00070,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-11-29 04:54:32,2024-12-03 12:54:32,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000009,E00209,PHISH_CLICK,Переход по фишинговой ссылке,MEDIUM,OPEN,2024-09-11 18:34:48,,MAIL_GW,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000010,E00231,POLICY_MAIL,Отправка служебных данных на внешнюю почту,HIGH,CLOSED,2024-06-10 10:28:01,2024-06-20 21:28:01,EDR,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000011,E02213,USB_COPY,Копирование данных на внешний носитель,HIGH,CLOSED,2024-01-13 16:30:07,2024-01-23 22:30:07,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000012,E01150,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-10-19 12:55:20,2024-10-19 15:55:20,DLP,ib_incidents,2024-12-31 09:00:00,risk_batch_001
IB-0000013,E01996,PASSWORD_SHARE,Передача пароля третьему лицу,HIGH,CLOSED,2024-12-11 08:35:01,2024-12-18 13:35:01,SOC,ib_incidents,2024-12-31 09:00:00,risk_batch_001
