src_activity_id,employee_src_id,activity_type_code,activity_type_name,activity_group,activity_status,detected_at,valid_from,valid_to,comment_text,source_system,load_dttm,batch_id
NWA-0000001,E01051,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-01-17 16:57:19,2024-01-17,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000002,E00267,EXT_JOB,Внешняя занятость,EMPLOYMENT,CLOSED,2024-11-14 07:03:35,2024-11-14,2025-01-22,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000003,E02657,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-01-02 11:17:08,2024-01-02,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000004,E00079,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,CLOSED,2024-12-02 01:43:54,2024-12-02,2024-12-13,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000005,E00208,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,CLOSED,2024-04-23 17:48:28,2024-04-23,2024-06-11,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000006,E01319,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-02-18 03:13:03,2024-02-18,,Требуется дополнительная проверка,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000007,E02144,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-08-10 10:12:58,2024-08-10,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000008,E00299,GAMBLING,Азартные игры,BEHAVIOR,ACTIVE,2024-11-29 17:19:22,2024-11-29,,Сигнал подтверждён службой контроля,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000009,E01589,EXT_JOB,Внешняя занятость,EMPLOYMENT,ACTIVE,2024-08-28 20:57:41,2024-08-28,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000010,E02382,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-02-20 19:46:34,2024-02-20,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000011,E01808,EXT_AFFILIATION,Внешняя аффилированность,AFFILIATION,ACTIVE,2024-05-15 23:46:39,2024-05-15,,Сигнал выявлен автоматическим мониторингом,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
NWA-0000012,E00110,DEBT_LOAD,Повышенная долговая нагрузка,FINANCIAL,ACTIVE,2024-10-30 01:53:02,2024-10-30,,Признак учтён в риск-профиле сотрудника,hr_risk_monitor,2024-12-31 09:00:00,risk_batch_001
