src_case_id,employee_src_id,case_type_code,case_type_name,risk_flag,case_status,registered_at,resolved_at,resolution_code,resolution_name,source_system,load_dttm,batch_id
SEC-0000001,E00298,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-04-11 13:36:04,2024-04-16 13:36:04,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000002,E02829,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-07-30 12:21:20,2024-08-02 12:21:20,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000003,E00383,DOC_LEAK,Подозрение на утечку документов,N,CLOSED,2024-03-31 04:46:43,2024-04-09 04:46:43,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000004,E00023,BADGE_MISUSE,Некорректное использование пропуска,Y,CLOSED,2024-05-31 01:13:35,2024-06-03 01:13:35,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000005,E02840,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-12-26 18:18:55,2024-12-28 18:18:55,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000006,E01721,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,N,OPEN,2024-07-05 04:42:40,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000007,E00644,BADGE_MISUSE,Некорректное использование пропуска,N,CLOSED,2024-11-06 12:48:19,2024-11-17 12:48:19,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000008,E02407,DOC_LEAK,Подозрение на утечку документов,Y,CLOSED,2024-09-15 15:36:33,2024-09-26 15:36:33,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000009,E02055,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-02-26 03:59:53,2024-02-28 03:59:53,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000010,E01305,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-05-03 06:51:49,2024-05-13 06:51:49,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000011,E00265,BADGE_MISUSE,Некорректное использование пропуска,N,OPEN,2024-01-08 07:59:12,,,,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000012,E02752,PHYS_ACCESS,Нарушение физического доступа,N,CLOSED,2024-11-30 23:00:13,2024-12-03 23:00:13,REJECTED,Риск не подтвержден,security_cases,2024-12-31 09:00:00,risk_batch_001
SEC-0000013,E01572,THIRD_PARTY,Подозрительное взаимодействие с внешним лицом,Y,CLOSED,2024-02-07 20:58:57,2024-02-09 20:58:57,CONFIRMED,Нарушение подтверждено,security_cases,2024-12-31 09:00:00,risk_batch_001
